4910;2838;7.24;2023-02-09 06:45:19.151875
4234;1464;6.32;2023-08-01 13:34:28.322997
283;763;1.34;2023-09-09 14:21:46.347366
2260;3291;0.67;2023-02-03 15:28:57.697909
773;4377;5.86;2023-06-17 09:49:46.392925
2338;128;3.25;2023-07-01 11:55:16.243412
1329;1065;1.83;2023-08-07 18:23:52.103079
4042;2297;4.07;2023-07-01 10:23:04.698528
910;4939;5.45;2023-03-07 20:28:49.632335
2140;4080;10.0;2023-05-05 21:56:27.649614
3460;961;3.6;2023-05-31 15:31:04.387655
3998;813;9.78;2023-10-28 17:06:38.456592
1367;3454;1.61;2023-10-13 08:00:22.493953
2541;2233;1.17;2023-02-26 20:34:28.608627
3248;613;6.01;2023-01-02 07:09:06.120087
708;2546;2.64;2023-05-11 15:19:47.726697
1095;560;9.28;2023-07-31 07:30:00.185864
179;4067;1.27;2023-08-27 04:31:03.233261
1014;4118;2.66;2023-08-21 06:08:01.751273
3928;1673;9.75;2023-09-03 13:05:31.751375
4807;1068;1.29;2023-02-08 16:18:39.183240
3749;4833;5.91;2023-09-05 03:46:15.802919
667;33;7.69;2023-11-05 17:42:31.756407
528;716;3.2;2023-08-02 21:47:04.845829
3860;2490;7.89;2023-05-07 21:07:12.975574
3721;69;9.9;2023-06-19 21:45:20.301017
1210;4802;5.72;2023-06-22 04:06:28.072678
2011;3712;1.45;2023-05-23 07:00:34.074594
3669;2292;5.6;2023-05-23 11:03:00.296351
898;2429;3.75;2023-10-23 16:02:14.730961
2716;3694;6.77;2023-08-01 21:56:01.658365
4782;1405;5.99;2023-05-16 15:25:00.527791
338;2473;3.29;2023-01-27 21:43:22.440534
4678;288;5.47;2023-09-28 16:19:11.169218
1645;2140;9.45;2023-07-03 01:46:06.776639
1639;4909;1.99;2023-10-20 18:27:54.594404
2870;3061;6.58;2023-10-22 11:58:55.673008
1928;1672;9.45;2023-05-02 20:45:19.508497
248;4322;2.24;2023-05-05 01:24:41.639984
1143;54;2.93;2023-03-31 04:28:47.165503
4357;2180;7.82;2023-12-01 13:14:42.577236
3080;4954;5.98;2023-10-20 22:43:11.858339
3451;4201;8.62;2023-05-03 20:07:09.434645
4642;4103;3.92;2023-02-20 22:42:55.525540
