True;2.046601;51;Sausages
False;5.762143;86;Fantastic Gloves
False;6.658736;88;Incredible Fresh Pants
True;4.24817;36;Refined Pizza
False;8.920446;37;Awesome Mouse
False;4.584845;64;Chicken
False;2.532426;80;Fantastic Ball
False;3.94205;22;Rustic Cheese
True;6.589835;13;Tuna
True;4.72783;28;Incredible Frozen Chicken
True;4.499987;60;Pants
True;7.845719;86;For repair Steel Computer
True;5.205841;12;New Pants
False;8.593232;53;Generic Bacon
False;2.447206;57;Chair
False;0.243046;31;Salad
True;3.412713;65;Shoes
False;4.978563;2;Concrete Shirt
False;5.234734;64;Handcrafted Soap
True;0.942159;48;Handmade Frozen Keyboard
True;1.867669;39;Tasty Plastic Ball
True;0.184451;8;Handcrafted Steel Ball
True;2.637176;90;Rubber Towels
False;0.382252;12;Used Shirt
True;7.621158;70;Practical Granite Pants
False;8.437633;2;Awesome Metal Car
True;5.158457;91;Incredible Towels
False;7.276191;93;Generic Soft Cheese
True;6.665798;40;Plastic Pants
True;8.274512;84;Awesome Concrete Pizza
False;2.730161;9;Ergonomic Table
True;2.589652;33;Unbranded Concrete Chair
True;5.792477;47;Cotton Cheese
True;8.533414;20;Pizza
True;0.690705;45;Steel Sausages
False;8.956945;98;Handcrafted Chicken
True;0.360746;64;Refined Bike
True;3.310476;50;Generic Frozen Chair
True;4.569339;96;Ball
False;2.871952;8;Small Fish
True;3.733895;70;Small Cotton Fish
False;2.495238;95;Shirt
False;5.863027;53;Shirt
True;4.363117;19;Handmade Pizza
False;7.255374;30;Sleek Cheese
False;8.039464;13;Table
False;3.281296;95;Soap
False;5.525826;97;Pants
True;7.186666;80;Handcrafted Towels
True;8.323978;35;Practical Computer
False;5.691393;21;Rustic Metal Shirt
True;3.314686;88;Shoes
True;3.256935;9;Table
True;2.724703;33;Shoes
True;7.685329;93;Handmade Shoes
True;1.151123;31;Wooden Shirt
False;3.40756;57;Tasty Steel Cheese
True;7.789157;3;Sausages
False;8.681636;46;Fresh Pants
False;0.342979;58;New Mouse
True;3.265435;99;Car
True;3.951315;32;Licensed Cheese
True;7.901295;25;Shirt
True;1.895558;8;Licensed Steel Bacon
